date,lst_day_kelvin,lst_anomaly_kelvin,qa_flag
2016-01-02,260.36,-9.97,1
2016-01-03,268.5,0.11,1
2016-01-06,264.69,-6.82,1
2016-01-11,267.15,-6.06,1
2016-01-13,273.05,0.06,1
2016-01-15,269.16,-2.16,1
2016-01-16,266.5,-6.43,1
2016-01-19,269.72,-1.31,1
2016-01-20,273.04,0.82,1
2016-01-21,258.86,-13.24,1
2016-01-22,275.02,2.52,1
2016-01-23,265.71,-7.93,1
2016-01-24,274.19,4.02,1
2016-02-01,266.63,-5.54,1
2016-02-03,272.65,-1.52,1
2016-02-05,258.9,-14.32,1
2016-02-07,274.82,3.1,1
2016-02-08,271.78,0.35,1
2016-02-10,264.44,-7.73,1
2016-02-12,267.76,-6.56,1
2016-02-16,275.83,2.02,1
2016-02-28,285.39,8.53,1
2016-02-29,271.38,-4.42,1
2016-03-01,284.22,6.46,1
2016-03-02,275.91,-1.58,1
2016-03-04,283.13,7.02,1
2016-03-05,285.22,9.24,1
2016-03-07,280.74,2.2,1
2016-03-08,287.07,9.89,1
2016-03-09,277.57,0.53,1
2016-03-10,289.8,11.58,1
2016-03-21,276.97,-2.93,1
2016-03-22,282.28,3.88,1
2016-03-27,262.98,-18.5,1
2016-03-28,274.36,-7.32,1
2016-03-29,281.56,-0.07,1
2016-03-30,290.65,8.66,1
2016-04-01,286.36,5.3,1
2016-04-07,273.37,-9.57,1
2016-04-12,284.53,0.75,1
2016-04-13,287.41,3.61,1
2016-04-14,287.79,3.79,1
2016-04-16,290.05,7.95,1
2016-04-18,290.66,6.51,1
2016-04-20,289.43,4.98,1
2016-04-22,278.52,-5.16,1
2016-04-23,287.87,5.18,1
2016-04-24,282.46,-1.52,1
2016-04-25,292.34,7.21,1
2016-04-28,274.92,-9.16,1
2016-04-29,295.39,9.17,1
2016-04-30,294.33,9.04,1
2016-05-01,297.14,12.75,1
2016-05-02,297.87,12.3,1
2016-05-03,287.67,3.47,1
2016-05-04,299.15,15.48,1
2016-05-06,297.03,13.51,1
2016-05-07,295.98,11.26,1
2016-05-08,299.41,14.33,1
2016-05-09,297.52,12.31,1
2016-05-10,294.87,10.19,1
2016-05-15,289.23,5.52,1
2016-05-17,285.5,-0.22,1
2016-05-18,299.14,11.44,1
2016-05-19,274.9,-8.47,1
2016-05-20,282.23,-1.74,1
2016-05-21,293.04,8.47,1
2016-05-22,303.17,17.31,1
2016-05-23,275.06,-12.74,1
2016-05-25,293.96,7.82,1
2016-05-26,287.81,3.98,1
2016-05-27,293.86,7.58,1
2016-05-29,295.87,10.59,1
2016-05-31,295.87,9.61,1
2016-06-01,294.8,8.54,1
2016-06-02,300.58,14.02,1
2016-06-04,276.17,-13.32,1
2016-06-05,300.59,12.15,1
2016-06-07,298.25,10.21,1
2016-06-09,291.36,1.6,1
2016-06-10,287.99,-0.61,1
2016-06-13,282.15,-4.38,1
2016-06-14,305.08,19.71,1
2016-06-15,299.77,14.73,1
2016-06-17,295.57,10.99,1
2016-06-18,298.36,14.29,1
2016-06-19,278.45,-5.78,1
2016-06-20,297.32,14.9,1
2016-06-22,287.63,4.34,1
2016-06-23,292.35,6.63,1
2016-06-24,277.42,-8.62,1
2016-06-25,304.76,18.74,1
2016-06-26,300.39,17.14,1
2016-06-27,301.41,17.93,1
2016-06-30,303.34,16.68,1
2016-07-01,294.14,10.38,1
2016-07-02,307.79,21.18,1
2016-07-04,294.61,10.45,1
2016-07-05,299.42,17.72,1
2016-07-06,288.63,7.72,1
2016-07-07,287.06,2.84,1
2016-07-08,287.84,4.68,1
2016-07-09,300.91,17.74,1
2016-07-11,301.96,18.89,1
2016-07-12,305.0,25.18,1
2016-07-13,283.38,0.12,1
2016-07-20,301.71,15.61,1
2016-07-21,304.59,24.48,1
2016-07-23,302.42,19.08,1
2016-07-24,297.77,17.82,1
2016-07-25,308.23,25.31,1
2016-07-26,301.19,19.2,1
2016-07-29,296.09,17.35,1
2016-07-30,300.06,18.73,1
2016-07-31,294.51,12.4,1
2016-08-01,299.69,17.58,1
2016-08-02,301.56,18.84,1
2016-08-03,303.6,23.16,1
2016-08-04,301.38,17.52,1
2016-08-05,306.92,24.23,1
2016-08-06,301.37,19.27,1
2016-08-07,296.22,11.29,1
2016-08-09,296.28,13.47,1
2016-08-13,287.69,4.31,1
