date,lst_day_kelvin,lst_anomaly_kelvin,qa_flag
2016-01-01,269.59,-1.47,1
2016-01-02,275.81,5.48,1
2016-01-03,273.12,4.73,1
2016-01-04,269.79,-1.76,1
2016-01-06,269.24,-2.27,1
2016-01-07,275.7,3.05,1
2016-01-08,268.3,-2.77,1
2016-01-09,270.4,-0.98,1
2016-01-10,272.34,2.45,1
2016-01-11,277.93,4.72,1
2016-01-12,276.16,3.11,1
2016-01-13,268.53,-4.46,1
2016-01-14,274.03,1.26,1
2016-01-16,275.77,2.84,1
2016-01-17,271.21,0.34,1
2016-01-18,275.68,2.95,1
2016-01-20,260.75,-11.47,1
2016-01-21,267.33,-4.77,1
2016-01-22,264.29,-8.21,1
2016-01-23,270.49,-3.15,1
2016-01-24,266.66,-3.51,1
2016-01-25,269.04,-3.04,1
2016-01-26,265.79,-5.29,1
2016-01-27,269.55,-0.21,1
2016-01-28,274.24,1.8,1
2016-01-29,271.71,0.21,1
2016-01-30,276.16,4.66,1
2016-01-31,271.25,-0.92,1
2016-02-01,276.47,4.3,1
2016-02-02,274.22,2.56,1
2016-02-03,278.7,4.53,1
2016-02-04,279.42,4.86,1
2016-02-05,276.52,3.3,1
2016-02-06,275.54,2.5,1
2016-02-07,273.85,2.13,1
2016-02-09,264.06,-7.05,1
2016-02-10,269.64,-2.53,1
2016-02-11,269.36,-4.89,1
2016-02-12,275.45,1.13,1
2016-02-13,272.24,-2.6,1
2016-02-14,270.76,-3.14,1
2016-02-15,277.18,2.28,1
2016-02-16,271.21,-2.6,1
2016-02-17,281.76,6.32,1
2016-02-18,278.11,2.06,1
2016-02-28,277.79,0.93,1
2016-02-29,271.64,-4.16,1
2016-03-01,267.87,-9.89,1
2016-03-02,280.43,2.94,1
2016-03-03,274.7,-4.37,1
2016-03-04,283.28,7.17,1
2016-03-05,269.94,-6.04,1
2016-03-07,274.17,-4.37,1
2016-03-08,272.62,-4.56,1
2016-03-09,277.25,0.21,1
2016-03-10,273.97,-4.25,1
2016-03-11,278.15,0.37,1
2016-03-12,259.71,-17.5,1
2016-03-14,264.27,-13.73,1
2016-03-15,272.05,-5.4,1
2016-03-16,275.76,-1.7,1
2016-03-17,269.76,-7.99,1
2016-03-18,282.34,4.17,1
2016-03-19,275.73,-3.4,1
2016-03-20,285.4,7.46,1
2016-03-21,278.25,-1.65,1
2016-03-22,275.86,-2.54,1
2016-03-23,274.32,-4.24,1
2016-03-24,277.5,-3.88,1
2016-03-25,287.35,7.5,1
2016-03-26,282.15,1.2,1
2016-03-29,273.86,-7.77,1
2016-04-01,279.37,-1.69,1
2016-04-02,275.53,-4.87,1
2016-04-03,288.06,7.42,1
2016-04-05,289.16,6.0,1
2016-04-06,282.59,0.46,1
2016-04-07,289.12,6.18,1
2016-04-08,282.27,0.37,1
2016-04-09,278.74,-3.94,1
2016-04-10,287.93,5.18,1
2016-04-11,280.84,-1.5,1
2016-04-12,290.15,6.37,1
2016-04-13,283.24,-0.56,1
2016-04-14,283.97,-0.03,1
2016-04-15,274.38,-9.71,1
2016-04-16,280.93,-1.17,1
2016-04-17,284.77,-0.14,1
2016-04-18,276.08,-8.07,1
2016-04-19,284.38,-0.3,1
2016-04-20,282.66,-1.79,1
2016-04-21,288.19,3.31,1
2016-04-22,280.28,-3.4,1
2016-04-24,272.04,-11.94,1
2016-04-25,277.25,-7.88,1
