date,lst_day_kelvin,lst_anomaly_kelvin,qa_flag
2016-01-04,273.54,1.99,1
2016-01-06,272.65,1.14,1
2016-01-07,278.93,6.28,1
2016-01-09,280.69,9.31,1
2016-01-11,273.17,-0.04,1
2016-01-16,280.19,7.26,1
2016-01-20,277.78,5.56,1
2016-01-25,277.14,5.06,1
2016-01-30,278.51,7.01,1
2016-02-03,281.97,7.8,1
2016-02-05,283.73,10.51,1
2016-02-06,284.89,11.85,1
2016-02-07,285.06,13.34,1
2016-02-08,288.4,16.97,1
2016-02-10,288.72,16.55,1
2016-02-28,300.18,23.32,1
2016-02-29,293.5,17.7,1
2016-03-01,302.61,24.85,1
2016-03-03,301.35,22.28,1
2016-03-08,292.79,15.61,1
2016-03-17,294.84,17.09,1
2016-03-20,298.73,20.79,1
2016-03-21,307.11,27.21,1
2016-03-22,307.17,28.77,1
2016-03-23,304.0,25.44,1
2016-03-24,308.63,27.25,1
2016-03-25,301.17,21.32,1
2016-03-26,301.37,20.42,1
2016-03-27,303.9,22.42,1
2016-03-28,307.21,25.53,1
2016-03-29,306.23,24.6,1
2016-03-30,301.3,19.31,1
2016-03-31,303.72,22.66,1
2016-04-08,299.41,17.51,1
2016-04-09,298.37,15.69,1
2016-04-10,311.99,29.24,1
2016-04-13,297.65,13.85,1
2016-04-14,315.62,31.62,1
2016-04-15,303.16,19.07,1
2016-04-16,302.12,20.02,1
2016-04-17,296.14,11.23,1
2016-04-18,307.49,23.34,1
2016-04-20,302.11,17.66,1
2016-04-21,305.05,20.17,1
2016-04-22,296.05,12.37,1
2016-04-24,296.28,12.3,1
2016-04-25,307.45,22.32,1
2016-04-26,291.84,6.21,1
2016-04-28,314.38,30.3,1
2016-04-29,322.56,36.34,1
2016-05-02,303.06,17.49,1
2016-05-04,301.32,17.65,1
2016-05-07,327.41,42.69,1
2016-05-08,309.91,24.83,1
2016-05-09,314.15,28.94,1
2016-05-10,323.08,38.4,1
2016-05-13,309.37,25.59,1
2016-05-14,311.5,25.99,1
2016-05-16,320.79,35.13,1
2016-05-17,320.44,34.72,1
2016-05-18,325.43,37.73,1
2016-05-20,306.8,22.83,1
2016-05-21,308.28,23.71,1
2016-05-22,309.36,23.5,1
2016-05-23,316.37,28.57,1
2016-05-26,306.8,22.97,1
2016-05-27,316.51,30.23,1
2016-05-28,316.27,31.59,1
2016-05-30,315.39,28.99,1
2016-05-31,317.89,31.63,1
2016-06-01,324.15,37.89,1
2016-06-02,311.07,24.51,1
2016-06-03,305.86,19.7,1
2016-06-04,303.3,13.81,1
2016-06-05,313.68,25.24,1
2016-06-07,310.14,22.1,1
2016-06-08,309.06,19.31,1
2016-06-09,320.97,31.21,1
2016-06-10,325.04,36.44,1
2016-06-11,322.95,36.63,1
2016-06-12,306.25,19.43,1
2016-06-13,305.72,19.19,1
2016-06-14,314.63,29.26,1
2016-06-15,317.17,32.13,1
2016-06-18,326.03,41.96,1
2016-06-19,319.17,34.94,1
2016-06-20,307.49,25.07,1
2016-06-21,315.41,32.1,1
2016-06-24,314.29,28.25,1
2016-06-25,318.61,32.59,1
2016-06-26,326.46,43.21,1
2016-06-27,317.63,34.15,1
2016-06-28,306.41,22.64,1
2016-06-29,316.63,30.89,1
2016-06-30,334.37,47.71,1
2016-07-02,330.83,44.22,1
2016-07-04,320.13,35.97,1
2016-07-08,319.52,36.36,1
2016-07-09,327.71,44.54,1
2016-07-10,327.3,43.91,1
2016-07-11,324.81,41.74,1
2016-07-12,330.42,50.6,1
2016-07-13,321.28,38.02,1
2016-07-14,330.75,48.81,1
2016-07-16,323.01,38.52,1
2016-07-17,317.82,34.49,1
2016-07-20,319.64,33.54,1
2016-07-21,329.05,48.94,1
2016-07-22,310.88,28.41,1
2016-07-23,324.66,41.32,1
2016-07-24,327.12,47.17,1
2016-07-25,327.34,44.42,1
2016-07-26,326.4,44.41,1
2016-07-27,329.26,50.37,1
2016-08-01,327.42,45.31,1
2016-08-02,314.18,31.46,1
2016-08-03,320.41,39.97,1
2016-08-04,315.06,31.2,1
2016-08-09,315.66,32.85,1
2016-08-10,313.65,30.69,1
2016-08-13,309.34,25.96,1
2016-08-14,316.9,36.91,1
2016-08-16,302.96,20.03,1
2016-08-17,312.27,28.79,1
2016-08-20,303.5,18.74,1
2016-08-21,308.25,21.98,1
2016-08-23,316.12,32.28,1
2016-08-28,303.94,21.45,1
2016-08-29,297.23,15.12,1
2016-09-01,316.83,32.47,1
2016-09-04,305.59,22.48,1
2016-09-05,312.51,30.12,1
2016-09-06,311.6,27.77,1
2016-09-07,300.05,16.49,1
2016-09-08,303.85,20.26,1
2016-09-09,315.78,30.95,1
2016-09-10,303.24,21.26,1
2016-09-11,307.72,22.77,1
2016-09-12,309.1,26.58,1
2016-09-15,296.95,15.06,1
2016-09-16,316.21,32.64,1
2016-09-17,319.35,35.4,1
2016-09-18,316.4,32.77,1
2016-09-19,316.91,31.0,1
2016-09-20,317.29,32.15,1
2016-09-21,320.7,36.32,1
2016-09-23,317.09,33.22,1
2016-09-25,315.64,29.28,1
2016-09-26,310.98,26.74,1
2016-09-27,309.56,23.48,1
2016-09-28,307.27,22.65,1
2016-09-29,306.01,20.82,1
2016-09-30,311.14,26.05,1
2016-10-01,310.51,26.63,1
2016-10-02,312.64,28.32,1
2016-10-03,311.23,28.08,1
2016-10-04,305.76,22.22,1
2016-10-05,306.06,21.72,1
2016-10-06,304.84,19.77,1
2016-10-08,302.26,18.81,1
2016-10-09,308.7,24.58,1
2016-10-10,304.39,20.27,1
2016-10-11,305.31,19.67,1
2016-10-12,308.56,23.4,1
2016-10-13,308.06,23.75,1
2016-10-14,309.85,23.87,1
2016-10-15,307.05,20.47,1
2016-10-16,296.87,11.23,1
2016-10-17,303.64,18.55,1
2016-10-18,306.33,21.59,1
2016-10-19,299.1,14.86,1
2016-10-20,299.86,16.03,1
2016-10-21,290.96,7.6,1
2016-10-23,289.04,6.55,1
2016-10-24,297.07,14.14,1
2016-10-25,297.65,15.71,1
2016-10-27,292.43,10.05,1
2016-10-28,289.56,7.57,1
2016-10-29,292.0,10.48,1
2016-10-30,294.65,13.46,1
2016-10-31,292.55,10.74,1
2016-11-01,297.11,15.3,1
2016-11-02,292.36,10.53,1
2016-11-03,298.01,16.78,1
2016-11-04,292.36,12.77,1
2016-11-05,293.79,14.31,1
2016-11-06,295.68,15.37,1
2016-11-07,290.58,10.36,1
2016-11-08,294.92,14.91,1
2016-11-09,290.94,10.43,1
2016-11-10,292.41,11.6,1
2016-11-11,296.19,15.82,1
2016-11-12,294.29,13.22,1
2016-11-13,296.69,15.22,1
2016-11-14,285.44,4.63,1
2016-11-15,286.59,7.03,1
2016-11-19,284.98,6.09,1
2016-11-28,283.84,6.61,1
