date,temperature_2m_k,total_precip_m_day,snow_depth_m_we
2016-01-01,261.67,0.000412,0.05
2016-01-02,261.56,0.000939,0.05
2016-01-03,259.14,0.003398,0.05
2016-01-04,261.35,0.0,0.05
2016-01-05,261.17,0.007453,0.05
2016-01-06,261.61,0.00872,0.05
2016-01-07,262.75,0.01826,0.05
2016-01-08,261.96,0.031936,0.05
2016-01-09,259.56,0.011115,0.05
2016-01-10,259.82,0.001152,0.05
2016-01-11,262.61,0.002035,0.05
2016-01-12,263.56,0.007431,0.05
2016-01-13,262.43,0.012453,0.05
2016-01-14,262.39,0.013201,0.05
2016-01-15,261.75,0.026573,0.05
2016-01-16,260.01,0.007122,0.05
2016-01-17,261.23,0.00952,0.05
2016-01-18,262.78,0.014577,0.05
2016-01-19,263.61,0.021824,0.05
2016-01-20,260.98,0.01885,0.05
2016-01-21,258.56,0.00872,0.05
2016-01-22,258.58,0.018517,0.05
2016-01-23,258.11,0.013179,0.05
2016-01-24,259.1,0.013543,0.05
2016-01-25,256.65,0.005519,0.05
2016-01-26,258.44,0.01555,0.05
2016-01-27,258.42,0.017645,0.05
2016-01-28,260.91,0.009289,0.05
2016-01-29,262.24,0.01036,0.05
2016-01-30,263.88,0.011391,0.05
2016-01-31,265.32,0.012405,0.05
2016-02-01,264.64,0.016239,0.05
2016-02-02,265.7,0.014486,0.05
2016-02-03,265.84,0.008012,0.05
2016-02-04,267.87,0.005131,0.05
2016-02-05,268.72,0.00245,0.05
2016-02-06,269.2,0.00434,0.05
2016-02-07,266.69,0.020029,0.05
2016-02-08,262.62,0.02234,0.05
2016-02-09,261.95,0.017582,0.05
2016-02-10,263.5,0.026489,0.05
2016-02-11,262.92,0.034617,0.05
2016-02-12,263.78,0.021722,0.05
2016-02-13,263.47,0.025504,0.05
2016-02-14,263.75,0.015307,0.05
2016-02-15,264.46,0.012498,0.05
2016-02-16,265.82,0.00885,0.05
2016-02-17,266.18,0.007517,0.05
2016-02-18,267.02,0.007347,0.05
2016-02-19,269.32,0.005328,0.05
2016-02-20,270.97,0.029134,0.05
2016-02-21,267.56,0.019004,0.05
2016-02-22,268.24,0.021146,0.05
